Network,Nodes count,PP,Measure,Seeds count,SF,IF,Iterations count
4_4.txt,4941,0.5,degree,1235,25,62.54,7
4_4.txt,4941,0.6,degree,247,5,54.3,16
4_4.txt,4941,0.6,degree,494,10,59.12,14
4_4.txt,4941,0.6,degree,1235,25,70.63,9
4_4.txt,4941,0.7,degree,247,5,70.59,18
4_4.txt,4941,0.7,degree,494,10,73.2,17
4_4.txt,4941,0.7,degree,1235,25,79.84,9
4_4.txt,4941,0.8,degree,247,5,82.19,16
4_4.txt,4941,0.8,degree,494,10,83.69,12
4_4.txt,4941,0.8,degree,1235,25,86.68,9
4_4.txt,4941,0.9,degree,247,5,92.51,14
4_4.txt,4941,0.9,degree,494,10,92.51,13
4_4.txt,4941,0.9,degree,1235,25,94.7,10
4_4.txt,4941,0.1,closeness,247,5,6.05,3
4_4.txt,4941,0.1,closeness,494,10,11.23,3
4_4.txt,4941,0.1,closeness,1235,25,26.25,3
4_4.txt,4941,0.2,closeness,247,5,8.18,6
4_4.txt,4941,0.2,closeness,494,10,13.72,6
4_4.txt,4941,0.2,closeness,1235,25,28.94,5
4_4.txt,4941,0.3,closeness,247,5,11.9,10
4_4.txt,4941,0.3,closeness,494,10,17.47,7
4_4.txt,4941,0.3,closeness,1235,25,32.97,6
4_4.txt,4941,0.4,closeness,247,5,16.84,11
4_4.txt,4941,0.4,closeness,494,10,23.44,13
4_4.txt,4941,0.4,closeness,1235,25,37.62,9
4_4.txt,4941,0.5,closeness,247,5,26.39,16
4_4.txt,4941,0.5,closeness,494,10,29.47,14
4_4.txt,4941,0.5,closeness,1235,25,46.59,17
4_4.txt,4941,0.6,closeness,247,5,40.46,20
4_4.txt,4941,0.6,closeness,494,10,43.27,19
4_4.txt,4941,0.6,closeness,1235,25,57.6,17
4_4.txt,4941,0.7,closeness,247,5,57.07,18
4_4.txt,4941,0.7,closeness,494,10,58.57,18
4_4.txt,4941,0.7,closeness,1235,25,74.7,19
4_4.txt,4941,0.8,closeness,247,5,80.09,25
4_4.txt,4941,0.8,closeness,494,10,80.71,24
4_4.txt,4941,0.8,closeness,1235,25,83.08,15
4_4.txt,4941,0.9,closeness,247,5,91.46,19
4_4.txt,4941,0.9,closeness,494,10,91.6,18
4_4.txt,4941,0.9,closeness,1235,25,92.29,14
4_4.txt,4941,0.1,random,247,5,6.52,4
4_4.txt,4941,0.1,random,494,10,12.97,5
4_4.txt,4941,0.1,random,1235,25,30.84,4
4_4.txt,4941,0.2,random,247,5,9.37,7
4_4.txt,4941,0.2,random,494,10,17.87,7
4_4.txt,4941,0.2,random,1235,25,38.92,6
4_4.txt,4941,0.3,random,247,5,16.07,9
4_4.txt,4941,0.3,random,494,10,26.76,12
4_4.txt,4941,0.3,random,1235,25,49.4,6
4_4.txt,4941,0.4,random,247,5,24.27,14
4_4.txt,4941,0.4,random,494,10,36.27,10
4_4.txt,4941,0.4,random,1235,25,58.29,7
4_4.txt,4941,0.5,random,247,5,40.21,17
4_4.txt,4941,0.5,random,494,10,49.26,12
4_4.txt,4941,0.5,random,1235,25,67.5,8
4_4.txt,4941,0.6,random,247,5,55.41,18
4_4.txt,4941,0.6,random,494,10,64.06,13
4_4.txt,4941,0.6,random,1235,25,76.95,9
4_4.txt,4941,0.7,random,247,5,73.85,18
4_4.txt,4941,0.7,random,494,10,77.19,11
4_4.txt,4941,0.7,random,1235,25,85.21,10
4_4.txt,4941,0.8,random,247,5,83.87,16
4_4.txt,4941,0.8,random,494,10,86.18,11
4_4.txt,4941,0.8,random,1235,25,90.33,10
4_4.txt,4941,0.9,random,247,5,93.34,14
4_4.txt,4941,0.9,random,494,10,95.1,14
4_4.txt,4941,0.9,random,1235,25,96.2,10
4_5.txt,4941,0.1,degree,247,5,7.91,3
4_5.txt,4941,0.1,degree,494,10,14.51,3
4_5.txt,4941,0.1,degree,1235,25,30.74,2
4_5.txt,4941,0.2,degree,247,5,12.04,4
4_5.txt,4941,0.2,degree,494,10,20.77,4
4_5.txt,4941,0.2,degree,1235,25,38.17,3
4_5.txt,4941,0.3,degree,247,5,20.36,8
4_5.txt,4941,0.3,degree,494,10,29.63,8
4_5.txt,4941,0.3,degree,1235,25,47.34,5
4_5.txt,4941,0.4,degree,247,5,27.22,12
4_5.txt,4941,0.4,degree,494,10,36.67,12
4_5.txt,4941,0.4,degree,1235,25,54.22,5
4_5.txt,4941,0.5,degree,247,5,37.34,12
4_5.txt,4941,0.5,degree,494,10,47.4,12
4_5.txt,4941,0.5,degree,1235,25,63.0,6
4_5.txt,4941,0.6,degree,247,5,51.06,16
4_5.txt,4941,0.6,degree,494,10,58.49,12
4_5.txt,4941,0.6,degree,1235,25,71.42,10
4_5.txt,4941,0.7,degree,247,5,69.3,15
4_5.txt,4941,0.7,degree,494,10,72.15,12
4_5.txt,4941,0.7,degree,1235,25,80.23,10
4_5.txt,4941,0.8,degree,247,5,81.54,14
4_5.txt,4941,0.8,degree,494,10,82.49,13
4_5.txt,4941,0.8,degree,1235,25,86.93,10
4_5.txt,4941,0.9,degree,247,5,91.76,13
4_5.txt,4941,0.9,degree,494,10,92.09,12
4_5.txt,4941,0.9,degree,1235,25,93.91,10
4_5.txt,4941,0.1,closeness,247,5,5.69,3
4_5.txt,4941,0.1,closeness,494,10,10.99,2
4_5.txt,4941,0.1,closeness,1235,25,26.53,2
4_5.txt,4941,0.2,closeness,247,5,7.27,4
4_5.txt,4941,0.2,closeness,494,10,12.95,6
4_5.txt,4941,0.2,closeness,1235,25,29.18,4
4_5.txt,4941,0.3,closeness,247,5,10.73,8
4_5.txt,4941,0.3,closeness,494,10,17.75,7
4_5.txt,4941,0.3,closeness,1235,25,33.66,5
4_5.txt,4941,0.4,closeness,247,5,16.41,14
4_5.txt,4941,0.4,closeness,494,10,23.46,12
4_5.txt,4941,0.4,closeness,1235,25,37.87,11
4_5.txt,4941,0.5,closeness,247,5,23.03,14
4_5.txt,4941,0.5,closeness,494,10,31.9,14
4_5.txt,4941,0.5,closeness,1235,25,44.77,11
4_5.txt,4941,0.6,closeness,247,5,39.67,31
4_5.txt,4941,0.6,closeness,494,10,43.9,19
4_5.txt,4941,0.6,closeness,1235,25,54.3,17
4_5.txt,4941,0.7,closeness,247,5,62.15,26
4_5.txt,4941,0.7,closeness,494,10,63.87,25
4_5.txt,4941,0.7,closeness,1235,25,71.48,23
4_5.txt,4941,0.8,closeness,247,5,78.14,26
4_5.txt,4941,0.8,closeness,494,10,79.5,20
4_5.txt,4941,0.8,closeness,1235,25,83.06,18
4_5.txt,4941,0.9,closeness,247,5,92.03,25
4_5.txt,4941,0.9,closeness,494,10,92.47,25
4_5.txt,4941,0.9,closeness,1235,25,93.83,23
4_5.txt,4941,0.1,random,247,5,6.72,3
4_5.txt,4941,0.1,random,494,10,12.87,4
4_5.txt,4941,0.1,random,1235,25,30.14,4
4_5.txt,4941,0.2,random,247,5,9.47,5
4_5.txt,4941,0.2,random,494,10,17.36,6
4_5.txt,4941,0.2,random,1235,25,37.06,6
4_5.txt,4941,0.3,random,247,5,15.77,10
4_5.txt,4941,0.3,random,494,10,28.01,9
4_5.txt,4941,0.3,random,1235,25,48.27,9
4_5.txt,4941,0.4,random,247,5,24.19,12
4_5.txt,4941,0.4,random,494,10,37.04,11
4_5.txt,4941,0.4,random,1235,25,57.11,7
4_5.txt,4941,0.5,random,247,5,39.36,15
4_5.txt,4941,0.5,random,494,10,51.61,11
4_5.txt,4941,0.5,random,1235,25,68.35,8
4_5.txt,4941,0.6,random,247,5,57.17,17
4_5.txt,4941,0.6,random,494,10,65.11,15
4_5.txt,4941,0.6,random,1235,25,77.66,14
4_5.txt,4941,0.7,random,247,5,72.62,15
4_5.txt,4941,0.7,random,494,10,76.73,13
4_5.txt,4941,0.7,random,1235,25,85.37,10
4_5.txt,4941,0.8,random,247,5,83.02,15
4_5.txt,4941,0.8,random,494,10,85.85,15
4_5.txt,4941,0.8,random,1235,25,91.12,8
4_5.txt,4941,0.9,random,247,5,92.79,14
4_5.txt,4941,0.9,random,494,10,93.87,11
4_5.txt,4941,0.9,random,1235,25,96.22,9
12_1.txt,1133,0.1,degree,56,5,33.01,8
12_1.txt,1133,0.1,degree,113,10,34.86,6
12_1.txt,1133,0.1,degree,283,25,44.84,4
12_1.txt,1133,0.2,degree,56,5,59.14,7
12_1.txt,1133,0.2,degree,113,10,59.14,6
12_1.txt,1133,0.2,degree,283,25,62.14,6
12_1.txt,1133,0.3,degree,56,5,74.76,5
12_1.txt,1133,0.3,degree,113,10,74.76,5
12_1.txt,1133,0.3,degree,283,25,75.2,4
12_1.txt,1133,0.4,degree,56,5,82.52,5
12_1.txt,1133,0.4,degree,113,10,82.52,5
12_1.txt,1133,0.4,degree,283,25,82.7,4
12_1.txt,1133,0.5,degree,56,5,87.64,4
12_1.txt,1133,0.5,degree,113,10,87.64,4
12_1.txt,1133,0.5,degree,283,25,87.64,4
12_1.txt,1133,0.6,degree,56,5,91.35,4
12_1.txt,1133,0.6,degree,113,10,91.35,4
12_1.txt,1133,0.6,degree,283,25,91.35,3
12_1.txt,1133,0.7,degree,56,5,94.62,4
12_1.txt,1133,0.7,degree,113,10,94.62,4
12_1.txt,1133,0.7,degree,283,25,94.62,3
12_1.txt,1133,0.8,degree,56,5,96.65,5
12_1.txt,1133,0.8,degree,113,10,96.65,4
12_1.txt,1133,0.8,degree,283,25,96.65,4
12_1.txt,1133,0.9,degree,56,5,98.15,4
12_1.txt,1133,0.9,degree,113,10,98.15,3
